Latitude,Longitude,island,name,address,zipcode,type,units,year_open,hawaiistgrdsownerhotelsarea
810559.4939,2301348.723,Maui,Hana's Tradewind Cottages,143 Alalele Place,96713,INDIVIDUAL VACATION UNIT,1,1990,Hana
431272.532,2427955.002,Kauai,Kokee Lodge,"Kokee State Park, Mile Marker 15",96796,OTHER,12,1950,Waimea
764783.4752,2296338.653,Maui,Hale Kai O Kihei,1310 Uluniu Road,96753,INDIVIDUAL VACATION UNIT,17,1969,Kihei
915036.5818,2186966.906,Hawaii,Arnott's Lodge And Hiking Adventures,98 Apapane Road,96720,APARTMENT/ HOTEL,30,1990,Hilo
742636.8671,2323377.966,Maui,Hale Napili,65 Hui Drive,96761,CONDOMINIUM HOTEL,18,1960,Lahaina
742695.4671,2323355.981,Maui,Napili Village Hotel,5425 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,30,1965,Lahaina
759285.864,2301296.98,Maui,Maalaea Kai,70 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,64,1974,Wailuku
621000.0634,2353658.977,Oahu,Hale Koa Hotel,2055 Kalia Road,96815,HOTEL,818,1975,Honolulu
741539.214,2309749.44,Maui,Best Western Pioneer Inn,658 Wharf Street,96761,HOTEL,34,1901,Lahaina
772331.6971,2315060.635,Maui,The Paia Inn,93 Hana Highway,96779,HOTEL,7,,Paia
741021.1372,2320138.727,Maui,Noelani Condominium Resort (Estimate),4095 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,50,1976,Lahaina
817210.2327,2170741.257,Hawaii,Banyan Tree Condominium,76-6268 Alii Drive,96740,INDIVIDUAL VACATION UNIT,14,1978,Kailua-Kona
818181.4299,2168058.91,Hawaii,Kahaluu Reef,78-6665 Alii Drive,96740,INDIVIDUAL VACATION UNIT,10,,Kailua-Kona
816034.8846,2172892.877,Hawaii,Lunapule Kona,75-123 Lunapule Road,96740,INDIVIDUAL VACATION UNIT,5,,Kailua-Kona
816238.2711,2172426.898,Hawaii,Kona Sea Ridge,75-6009 Alii Drive,96740,INDIVIDUAL VACATION UNIT,34,,Kailua-Kona
815768.939,2174016.004,Hawaii,Kona Alii,75-5782 Kuakini Highway,96740,INDIVIDUAL VACATION UNIT,30,1974,Kailua-Kona
817129.7883,2170906.861,Hawaii,My Hawaii Hostel,76-6241 Ali'i Drive #5,96740,HOSTEL,36,,Kailua-Kona
817392.7868,2170494.48,Hawaii,Kona Palms,77-6311 Alii Drive,96740,INDIVIDUAL VACATION UNIT,3,,Kailua-Kona
816260.7041,2172323.637,Hawaii,Alii Villas,75-6016 Alii Drive,96740,INDIVIDUAL VACATION UNIT,60,1973,Kailua-Kona
816461.6054,2171844.089,Hawaii,Casa de Emdeko,75-6082 Alii Drive,96740,INDIVIDUAL VACATION UNIT,62,1970,Kailua-Kona
826476.1042,2206270.258,Hawaii,Halii Kai at Waikoloa,69-1033 Nawahine Place,96738,INDIVIDUAL VACATION UNIT,155,2007,Waikoloa
622058.522,2353469.865,Oahu,Aqua Aloha Surf Waikiki,444 Kanekapolei Street,96815,CONDOMINIUM HOTEL,202,1968,Honolulu
621442.3761,2353680.029,Oahu,Aqua Oasis,320 Lewers Street,96815,HOTEL,96,1960,Honolulu
620694.6472,2354113.338,Oahu,Aqua Palms Waikiki,1850 Ala Moana Boulevard,96815,CONDOMINIUM HOTEL,260,1968,Honolulu
621791.5633,2353726.264,Oahu,Aqua Skyline at Island Colony,445 Seaside Avenue,96815,HOTEL,92,1978,Honolulu
622282.2257,2352799.578,Oahu,Ewa Hotel Waikiki,2555 Cartwright Road,96815,HOTEL,92,1970,Honolulu
598266.6774,2359334.548,Oahu,Hampton Inn & Suites Oahu/Kapolei,91-5431 Kapolei Pkwy,96707,HOTEL,175,2016,Kapolei
620491.8234,2354134.942,Oahu,Ilikai Hotel & Luxury Suites,1777 Ala Moana Boulevard,96815,CONDOMINIUM HOTEL,1045,1964,Honolulu
621134.7869,2353982.618,Oahu,Luana Waikiki Hotel & Suites,2045 Kalakaua Avenue,96815,CONDOMINIUM HOTEL,195,1970,Honolulu
620338.8775,2355302.522,Oahu,Pagoda Hotel,1525 Rycroft Street,96814,HOTEL,199,1964,Honolulu
618118.7365,2356823.91,Oahu,Aston at the Executive Centre Hotel,1088 Bishop Street,96813,CONDOMINIUM HOTEL,112,1992,Honolulu
