Date,City,Shape
8/14/11,Ewa Beach,Unknown
8/14/11,Ewa Beach,Circle
8/20/11,Wailuku,Other
9/15/11,Anahola,Flash
10/5/11,Kalaeloa,Diamond
10/14/11,Honolulu,Triangle
10/22/11,Honolulu,Light
10/23/11,Honolulu,Cylinder
12/17/11,Honolulu,Light
12/17/11,Honolulu,Light
12/28/11,Lahaina,Circle
1/2/12,Kihei,Light
1/7/12,Kihei,Formation
1/12/12,Kapaa,Oval
1/20/12,Hanalei Bay,Light
1/23/12,Hilo,Oval
2/3/12,Makawao,Formation
3/5/12,Kurtistown,Light
4/2/12,Kahana,Fireball
4/2/12,Haena,Fireball
4/11/12,Honolulu,Light
4/14/12,Hailemaile,Cone
5/15/12,"wailea, mckenna, Maui, HI",Diamond
5/27/12,Hanalei Bay,Egg
6/10/12,Makawao,Circle
7/4/12,Lahaina,Fireball
7/11/12,Haleiwa,Fireball
7/15/12,Mountain View,Unknown
7/19/12,Hilo,Light
8/3/12,Kihei,Fireball
8/4/12,Ewa Beach,Light
8/9/12,Schofield Barracks,Light
8/9/12,Schofield Barracks,Light
8/30/12,Poipu,Light
9/12/12,Honolulu,Light
9/30/12,Honokowai,Cone
10/26/12,Maui (Peahi/Jaws),Circle
11/19/12,Laie,Light
11/23/12,Aiea,Light
11/23/12,Honolulu,Circle
12/8/12,Honolulu,Cone
12/12/12,Wailuku,Fireball
12/16/12,Haleiwa,Oval
12/19/12,Honokowaii,Circle
12/29/12,Wahiawa,Formation
12/31/12,Honokaa,Circle
12/31/12,Waianae,Circle
1/1/13,Wailuku,Sphere
1/1/13,Lahaina (Maui),Fireball
1/1/13,Honolulu,Fireball
1/25/13,Kaanapali,Circle
2/1/13,Hana,
2/9/13,Hana,Fireball
3/11/13,Honolulu,Fireball
3/15/13,Maui,Flash
4/21/13,Kekaha,Light
4/21/13,Kekaha,Light
4/22/13,Lihue,Light
5/2/13,Honolulu,Other
5/16/13,Honolulu,Egg
5/16/13,Kihei,Fireball
5/22/13,Hanalei Beach,Fireball
5/30/13,Hawaii Volcano National Park,Light
6/15/13,Kaneohe,Circle
6/16/13,Lahaina,Changing
6/22/13,Waikoloa,Fireball
6/23/13,Lahaina,Fireball
6/29/13,Mililani,Diamond
7/3/13,Princeville,Triangle
7/4/13,Mt. View,Light
7/4/13,Eden Roc/Big Island,Fireball
7/24/13,Waianae (Oahu),Light
7/24/13,Waikiki,Light
8/13/13,Wahiawa,Light
8/13/13,Wahiawa,Light
8/17/13,Hove,Sphere
8/18/13,Lahaina,Fireball
8/25/13,Waikoloa,
8/28/13,Kapoho,Light
8/28/13,Kailua Kona,Light
10/5/13,Kaanapali,Fireball
10/5/13,Kahalu'u,Fireball
10/22/13,Kaneohe,Oval
10/26/13,Honolulu,Flash
10/27/13,Puna,Rectangle
11/1/13,Napili,Fireball
11/5/13,Lahaina,Flash
11/7/13,Poipu,Fireball
11/9/13,Waikoloa,Light
11/21/13,Honolulu,Sphere
12/6/13,Aiea,Circle
12/6/13,Wailuku,Light
12/16/13,Hilo,Oval
12/18/13,Kihei,Fireball
12/21/13,Kihei,Sphere
12/23/13,Kipahulu,Cylinder
12/29/13,Kailua Kona,Light
12/31/13,Pukalani,Sphere
12/31/13,Waelo,Light
12/31/13,Kihei,Circle
1/10/14,Kaneohe,Fireball
1/14/14,Waimanalo,Fireball
1/15/14,Kealia,Fireball
1/15/14,Paia,Sphere
1/15/14,Kihei,Circle
1/19/14,Honolulu,Cigar
1/23/14,Kailua Kona,Circle
1/24/14,Honolulu,Light
1/31/14,Kaanapali,Fireball
2/5/14,Lanikai (Honolulu),Sphere
2/5/14,Wahiawa,Circle
2/8/14,Haiku,Light
2/9/14,Lahaina,Light
2/18/14,Lihue,Diamond
2/22/14,Wahiawa,Light
2/25/14,Kailua Kona,Cylinder
3/3/14,Honolulu,Light
3/4/14,Kaimuki,Oval
4/1/14,Hakalau,Fireball
4/23/14,Waipahu,Sphere
5/1/14,Honolulu,Other
5/3/14,Waikiki Beach,Light
5/5/14,Honolulu,Changing
5/7/14,Honolulu,Light
5/10/14,Ewa Beach,Light
